position_id,display_role_label,selected_visibility_sent_weight,selected_outgoing_exposure_edges,weighted_out_degree,bridge_score,community_id
31639,bridge,19.465261080539356,40,1411.096550742696,0.6332475586502644,2
194290,bridge,14.829002040315274,26,689.1911475935063,0.5577304587652228,1
42292,high exposure receiver,9.130244385820538,12,311.8248289514239,0.3770912350976647,1
189612,high exposure receiver,9.021860878182476,10,254.6052318510425,0.1035184934255464,1
186886,high exposure receiver,8.536988959646193,11,300.05521250907486,0.3368013612296691,1
377169,high visibility sender,8.141334113117956,25,1250.473657686172,0.3577841931183353,0
363863,context position,7.615807126703553,24,1242.482382717748,0.1962482723500678,0
247716,high visibility sender,6.476971362893302,12,657.2179268222861,0.3873796251386443,1
258451,high visibility sender,6.318147408600049,19,941.3982741273376,0.3135407290831851,0
384107,high exposure receiver,6.181576757265667,8,286.19572153394694,0.3840386106858328,1
336741,high visibility sender,5.904293935184848,18,823.424515769583,0.236627610519702,0
107328,high exposure receiver,5.745210583331637,13,504.0358686266981,0.5511916695289434,1
369106,context position,5.58761007377915,18,1020.2121868691468,0.2130357649076982,0
31772,high visibility sender,5.263134329815094,20,1031.385356771597,0.2895573381680459,0
219034,high exposure receiver,4.694747218226401,6,170.93491685872138,0.3772076546240964,1
