,Highest education,Employment,Citizenship,Migration,Urbanicity,Relationship status,Marital history,Religion affiliation,Household income,Housing tenure,Household composition,Continent,Sexual identity,Sexual attraction,Romantic orientation,Relationship structure,Cohabitation,Sex assigned,Gender identity
Highest education,1.0,0.013508515788617875,0.008277199936275351,0.018384999175284803,0.0,0.011336536645730212,0.020417273497539794,0.0,0.0,0.01668221222849509,0.0,0.011548191898499307,0.01600649153999267,0.01534800021538801,0.0,0.003950085945314003,0.0,0.008310166016018321,0.014262099266508435
Employment,0.013508515788617875,1.0,0.024950265865076485,0.0,0.008516181951452153,0.0023564315075484104,0.0,0.017624461735451704,0.017107841996686003,0.010029104963224744,0.03960562992634656,0.0,0.0,0.004681816308166312,0.0,0.016094407501630294,0.0,0.017794726803903052,0.01703966722475423
Citizenship,0.008277199936275351,0.024950265865076485,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014332618557139326,0.010144508611393049,0.013015518463088844,0.013835934645276588,0.0,0.0,0.0,0.0,0.017838023072970204,0.0
Migration,0.018384999175284803,0.0,0.0,1.0,0.005685735101451091,0.0,0.0,0.013816569620123065,0.0,0.0,0.01905204707258626,0.0,0.009391709981887188,0.00793786516084636,0.0,0.0,0.0,0.006619132938445601,0.01583550977203353
Urbanicity,0.0,0.008516181951452153,0.0,0.005685735101451091,1.0,0.022637603042420185,0.011283275223851544,0.018221809521635074,0.01598804588723613,0.0,0.0,0.008911171114040956,0.0,0.0,0.019550497367428775,0.004191428534323481,0.0044338925994244546,0.0,0.011120206477492966
Relationship status,0.011336536645730212,0.0023564315075484104,0.0,0.0,0.022637603042420185,1.0,0.5530497014738699,0.0,0.011637896836719185,0.01490187538334323,0.015612377920552218,0.0111040910766357,0.0049187031834494075,0.013993712622097972,0.0,0.0,0.0,0.023022945992507385,0.0
Marital history,0.020417273497539794,0.0,0.0,0.0,0.011283275223851544,0.5530497014738699,1.0,0.0,0.009492045768734208,0.0,0.0,0.0,0.027215222520272423,0.025036958408627328,0.005918535179634069,0.015853302044747327,0.002912080348130487,0.0037868911728137864,0.0
Religion affiliation,0.0,0.017624461735451704,0.0,0.013816569620123065,0.018221809521635074,0.0,0.0,1.0,0.02305189021574989,0.007583099778446668,0.0,0.0,0.0,0.0,0.0,0.011183288611314133,0.0,0.019108888840799924,0.0
Household income,0.0,0.017107841996686003,0.0,0.0,0.01598804588723613,0.011637896836719185,0.009492045768734208,0.02305189021574989,1.0,0.0,0.0,0.005809651613960567,0.0,0.024498415067926507,0.0,0.0,0.0,0.01913088351487608,0.01663183351311521
Housing tenure,0.01668221222849509,0.010029104963224744,0.014332618557139326,0.0,0.0,0.01490187538334323,0.0,0.007583099778446668,0.0,1.0,0.01069360129406072,0.0,0.0,0.011819701270592077,0.0,0.0,0.0,0.0,0.00632319886870434
Household composition,0.0,0.03960562992634656,0.010144508611393049,0.01905204707258626,0.0,0.015612377920552218,0.0,0.0,0.0,0.01069360129406072,1.0,0.0,0.0,0.004842831163093756,0.0,0.0,0.006822642481712913,0.015622934949031199,0.0
Continent,0.011548191898499307,0.0,0.013015518463088844,0.0,0.008911171114040956,0.0111040910766357,0.0,0.0,0.005809651613960567,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0035992740415715075,0.0,0.0
Sexual identity,0.01600649153999267,0.0,0.013835934645276588,0.009391709981887188,0.0,0.0049187031834494075,0.027215222520272423,0.0,0.0,0.0,0.0,0.0,1.0,0.016437579961955686,0.0,0.0221741335230388,0.0,0.0,0.0
Sexual attraction,0.01534800021538801,0.004681816308166312,0.0,0.00793786516084636,0.0,0.013993712622097972,0.025036958408627328,0.0,0.024498415067926507,0.011819701270592077,0.004842831163093756,0.0,0.016437579961955686,1.0,0.008780617548555414,0.0,0.0,0.0,0.021520120577811466
Romantic orientation,0.0,0.0,0.0,0.0,0.019550497367428775,0.0,0.005918535179634069,0.0,0.0,0.0,0.0,0.0,0.0,0.008780617548555414,1.0,0.00757998533873322,0.010284583227423203,0.010376926248904354,0.0
Relationship structure,0.003950085945314003,0.016094407501630294,0.0,0.0,0.004191428534323481,0.0,0.015853302044747327,0.011183288611314133,0.0,0.0,0.0,0.0,0.0221741335230388,0.0,0.00757998533873322,1.0,0.009244394342081965,0.01424966917390506,0.0
Cohabitation,0.0,0.0,0.0,0.0,0.0044338925994244546,0.0,0.002912080348130487,0.0,0.0,0.0,0.006822642481712913,0.0035992740415715075,0.0,0.0,0.010284583227423203,0.009244394342081965,1.0,0.0018463639726598075,0.0028815002681581653
Sex assigned,0.008310166016018321,0.017794726803903052,0.017838023072970204,0.006619132938445601,0.0,0.023022945992507385,0.0037868911728137864,0.019108888840799924,0.01913088351487608,0.0,0.015622934949031199,0.0,0.0,0.0,0.010376926248904354,0.01424966917390506,0.0018463639726598075,1.0,0.4937097924720495
Gender identity,0.014262099266508435,0.01703966722475423,0.0,0.01583550977203353,0.011120206477492966,0.0,0.0,0.0,0.01663183351311521,0.00632319886870434,0.0,0.0,0.0,0.021520120577811466,0.0,0.0,0.0028815002681581653,0.4937097924720495,1.0
