factor,ontology_layer,sample_entropy,reference_entropy,coverage,n_observed,n_reference,total_variation_to_reference
Profile usage,Profile,1.0,1.0,1.0,10000,10000,
Age band,Profile,0.9888242018243071,1.0,1.0,6,6,
Neuroticism decile,Profile,0.9999999565705444,1.0,1.0,10,10,
Opinion domain,Opinion,0.9999999691650712,1.0,1.0,7,7,
Opinion leaves,Opinion,,,1.0,106,106,
Plan tactic,Attack,0.9884441727791319,0.9884496448123176,1.0,2,2,1.49251903410752e-05
Prepare tactic,Attack,0.9975589288937984,0.9975600309640145,1.0,6,6,0.0001094792921148835
Execute tactic,Attack,0.9965403355736355,0.996539264129102,1.0,6,6,8.274172807250235e-05
Inclusion route,Attack,0.16601078340615918,0.165871943206592,1.0,2,2,2.6117041905620447e-05
Signal decile,Attack,0.9991039770886287,0.9992878231224614,1.0,10,10,0.0043158723030760834
Attack leaves,Attack,,,0.7595,13626,17941,
